caldt,spret
20040603,-0.007405
20040604,0.005301
20040607,0.015999
20040608,0.001497
20040609,-0.009407
20040610,0.004535
20040614,-0.009595
20040615,0.006175
20040616,0.001322
20040617,-0.001251
20040618,0.002568
20040621,-0.004012
20040622,0.003691
20040623,0.008492
20040624,-0.002716
20040625,-0.004353
20040628,-0.002032
20040629,0.002597
20040630,0.004081
20040701,-0.010334
20040702,-0.00315
20040706,-0.008059
20040707,0.002064
20040708,-0.008176
20040709,0.00336
20040712,0.001347
20040713,0.000891
20040714,-0.003252
20040715,-0.004479
20040716,-0.004617
20040719,-0.000583
20040720,0.007021
20040721,-0.013014
20040722,0.002476
20040723,-0.009586
20040726,-0.001908
20040727,0.009859
20040728,0.000861
20040729,0.004932
20040730,0.001215
20040802,0.004189
20040803,-0.006307
20040804,-0.000739
20040805,-0.016296
20040806,-0.015405
20040809,0.00123
20040810,0.012917
20040811,-0.002377
20040812,-0.011584
20040813,0.001654
20040816,0.013586
20040817,0.002233
20040818,0.012678
20040819,-0.003601
20040820,0.006546
20040823,-0.002431
20040824,0.000513
20040825,0.008058
20040826,0.000099
20040827,0.002605
20040830,-0.007672
20040831,0.004626
20040901,0.001867
20040902,0.011267
20040903,-0.004149
20040907,0.006902
20040908,-0.00432
20040909,0.001967
20040910,0.004951
20040913,0.001872
20040914,0.002343
20040915,-0.00705
20040916,0.002814
20040917,0.004516
20040920,-0.005686
20040921,0.006354
20040922,-0.01382
20040923,-0.004464
20040924,0.001552
20040927,-0.006009
20040928,0.006142
20040929,0.004333
20040930,-0.000249
20041001,0.015042
20041004,0.00345
20041005,-0.000651
20041006,0.007019
20041007,-0.009879
20041008,-0.007454
20041011,0.001978
20041012,-0.00234
20041013,-0.007265
20041014,-0.00929
20041015,0.004392
20041018,0.005151
20041019,-0.009663
20041020,0.000547
20041021,0.002661
20041022,-0.009728
20041025,-0.000867
20041026,0.01472
20041027,0.013192
20041028,0.001992
20041029,0.002484
20041101,0.000382
20041102,0.0001
20041103,0.011265
20041104,0.016264
20041105,0.00398
20041108,-0.001069
20041109,-0.000257
20041110,-0.000856
20041111,0.009059
20041112,0.00898
20041115,0.000014
20041116,-0.006985
20041117,0.005632
20041118,0.0013
20041119,-0.011029
20041122,0.005811
20041123,-0.000215
20041124,0.004204
20041126,0.00082
20041129,-0.003267
20041130,-0.00393
20041201,0.015133
20041202,-0.000894
20041203,0.000751
20041206,-0.000699
20041207,-0.010808
20041208,0.004761
20041209,0.005408
20041210,-0.001076
20041213,0.009072
20041214,0.003944
20041215,0.002063
20041216,-0.002021
20041217,-0.007143
20041220,0.000072
20041221,0.009052
20041222,0.003746
20041223,0.00053
20041227,-0.004327
20041228,0.007054
20041229,0.000173
20041230,0.000114
20041231,-0.001332
20050103,-0.008183
20050104,-0.011433
20050105,-0.003554
20050106,0.003732
20050107,-0.001434
20050110,0.003391
20050111,-0.006016
20050112,0.004448
20050113,-0.008636
20050114,0.006056
20050118,0.00976
20050119,-0.009411
20050120,-0.007726
20050121,-0.006536
20050124,-0.003465
20050125,0.003904
20050126,0.004918
20050127,0.000607
20050128,-0.002654
20050131,0.00853
20050201,0.006962
20050202,0.003312
20050203,-0.002412
20050204,0.011111
20050207,-0.001094
20050208,0.000797
20050209,-0.008406
20050210,0.004295
20050211,0.007176
20050214,0.000858
20050215,0.003244
20050216,0.000143
20050217,-0.007787
20050218,0.000722
20050222,-0.014433
20050223,0.005704
20050224,0.008175
20050225,0.009481
20050228,-0.006486
20050301,0.005575
20050302,0.000169
20050303,0.00038
20050304,0.009668
20050307,0.002533
20050308,-0.004759
20050309,-0.009975
20050310,0.001724
20050311,-0.007113
20050314,0.005522
20050315,-0.007464
20050316,-0.00799
20050317,0.001737
20050318,-0.000502
20050321,-0.004879
20050322,-0.01008
20050323,0.000719
20050324,-0.000851
20050328,0.002457
20050329,-0.007431
20050330,0.013874
20050331,-0.000626
20050401,-0.006551
20050404,0.003059
20050405,0.004415
20050406,0.002461
20050407,0.005962
20050408,-0.008262
20050411,0
20050412,0.005602
20050413,-0.011597
20050414,-0.00998
20050415,-0.016666
20050418,0.002891
20050419,0.00601
20050420,-0.0131
20050421,0.019396
20050422,-0.006543
20050425,0.00857
20050426,-0.008713
20050427,0.004134
20050428,-0.011232
20050429,0.011924
20050502,0.004631
20050503,-0.000665
20050504,0.012439
20050505,-0.002367
20050506,-0.001131
20050509,0.006458
20050510,-0.010715
20050511,0.004677
20050512,-0.010012
20050513,-0.004432
20050516,0.010269
20050517,0.006984
20050518,0.0103
20050519,0.004722
20050520,-0.001613
20050523,0.003976
20050524,0.000168
20050525,-0.003358
20050526,0.006507
20050527,0.001139
20050531,-0.006018
20050601,0.009253
20050602,0.001899
20050603,-0.006863
20050606,0.001293
20050607,-0.000229
20050608,-0.00203
20050609,0.005391
20050610,-0.002336
20050613,0.002484
20050614,0.002762
20050615,0.002341
20050616,0.003619
20050617,0.004866
20050620,-0.000713
20050621,-0.002065
20050622,0.000285
20050623,-0.010609
20050624,-0.00759
20050627,-0.000732
20050628,0.009353
20050629,-0.001211
20050630,-0.007188
