date,PFE,NKE,C,TM,BIIB,AZN
20130404,0.004478,0.007299,0.006353,0.047086,-0.000307,0.004408
20130405,-0.002058,-0.006235,0.005611,0.008236,-0.012112,0.005984
20130408,0.002062,0.016619,0.012788,0.020751,0.004242,0.001785
20130409,-0.001715,-0.001001,0.007576,-0.010947,-0.004945,0.001188
20130410,0.027825,0.006679,0.026658,0.011719,0.026764,0.008304
20130411,0.024064,0.015094,-0.004217,0.041368,0.00968,0.003333
20130412,0.000979,-0.010131,-0.002006,-0.001589,0.033706,0.002931
20130415,-0.007173,-0.015022,0.00201,-0.017772,-0.039901,-0.008769
20130416,0.016092,0.01391,0.039893,0.012782,0.016981,0.004914
20130417,-0.002262,0.006612,-0.019717,-0.007555,0.009672,-0.00626
20130418,-0.00907,-0.011823,-0.014211,-0.009941,-0.026558,0.005118
20130419,0.015364,0.012296,-0.001331,0.015468,0.023205,0.003134
20130422,-0.004185,0.007223,0.002665,-0.000267,0.05869,0.001367
20130423,0.00485,0.005215,0.029014,0.006326,-0.011338,0.012673
20130424,-0.015444,-0.002432,0.014206,0.006641,-0.030927,-0.009434
20130425,-0.011111,0.008776,-0.000212,0.018911,0.047628,-0.006414
20130426,-0.005618,-0.0029,-0.004033,-0.003108,-0.011157,0.008412
20130429,0.011299,0.011957,-0.002131,0.009179,0.046912,0.012027
20130430,-0.044693,0.015488,-0.003417,-0.002059,-0.020929,-0.004792
20130501,-0.005848,-0.003774,-0.016931,-0.022184,-0.021011,-0.006356
20130502,0.012803,-0.000631,0.014825,0.005804,0.013857,-0.003101
20130503,-0.010591,0.019425,0.009239,0.004721,0.007133,0.011666
20130506,-0.008287,-0.00914,0.010858,0.000957,-0.014256,-0.00788
20130507,0.010794,-0.000782,0.013269,0.009128,-0.014741,-0.003874
20130508,-0.002067,-0.000156,0.024527,0.031185,-0.008657,0.004862
20130509,-0.004525,-0.002504,-0.013999,-0.013033,-0.006787,-0.001742
20130510,0.004196,0.016003,0.003086,0.026579,0.018826,-0.000776
